"2-spirit people","Use","Two-spirit people"
"2-spirit people","Subject Category","SO Society and Culture"
"2-spirited people","Use","Two-spirit people"
"2-spirited people","Subject Category","SO Society and Culture"
"2SLGBTQ+ people","Use","LGBTQ2 people"
"2SLGBTQ+ people","Subject Category","SO Society and Culture"
"Abbreviations","French","Abréviation"
"Abbreviations","Related Term","Terminology"
"Abbreviations","Subject Category","LN Language and Linguistics"
"Abilities","Use","Skills"
"Abilities","Subject Category","PR Processes"
"Aboriginal affairs","Use","Indigenous affairs"
"Aboriginal affairs","Subject Category","GV Government and Politics"
"Aboriginal affairs","Subject Category","SO Society and Culture"
"Aboriginal businesses","Use","Indigenous businesses"
"Aboriginal businesses","Subject Category","EC Economics and Industry"
"Aboriginal culture","Use","Indigenous culture"
"Aboriginal culture","Subject Category","SO Society and Culture"
"Aboriginal governments","Use","Indigenous governments"
"Aboriginal governments","Subject Category","GV Government and Politics"
"Aboriginal heritage","Use","Indigenous culture"
"Aboriginal heritage","Subject Category","HI History and Archaeology"
"Aboriginal heritage","Subject Category","SO Society and Culture"
"Aboriginal issues","Use","Indigenous affairs"
"Aboriginal issues","Subject Category","GV Government and Politics"
"Aboriginal issues","Subject Category","SO Society and Culture"
"Aboriginal lands","Use","Indigenous lands"
"Aboriginal lands","Subject Category","SO Society and Culture"
"Aboriginal languages","Use","Indigenous languages"
"Aboriginal languages","Subject Category","LN Language and Linguistics"
"Aboriginal law","Use","Indigenous law"
"Aboriginal law","Subject Category","LW Law"
"Aboriginal people","Use","Indigenous peoples"
"Aboriginal people","Subject Category","PE Persons"
"Aboriginal people","Subject Category","SO Society and Culture"
"Aboriginal policing","Use","Indigenous policing"
"Aboriginal policing","Subject Category","SO Society and Culture"
"Aboriginal programs","Use","Indigenous programs"
"Aboriginal programs","Subject Category","SO Society and Culture"
"Aboriginal reserves","Use","Indigenous reserves"
"Aboriginal reserves","Subject Category","SO Society and Culture"
"Aboriginal rights","Use","Indigenous rights"
"Aboriginal rights","Subject Category","SO Society and Culture"
"Aboriginal self government","Use","Indigenous governments"
"Aboriginal self government","Use","Self government"
"Aboriginal self government","Subject Category","GV Government and Politics"
"Aboriginal youth","Use","Indigenous youth"
"Aboriginal youth","Subject Category","PE Persons"
"Aboriginal youth","Subject Category","SO Society and Culture"
"Abortion","French","Avortement"
"Abortion","Used For","Pregnancy termination"
"Abortion","Used For","Therapeutic abortion"
"Abortion","Related Term","Bioethics"
"Abortion","Related Term","Pregnancy"
"Abortion","Subject Category","HE Health and Safety"
"Abused children","Use","Violence against children"
"Abused children","Subject Category","PE Persons"
"Abused children","Subject Category","SO Society and Culture"
"Abused women","Use","Violence against women"
"Abused women","Subject Category","PE Persons"
"Abused women","Subject Category","SO Society and Culture"
"Access for persons with disabilities","Use","Accessibility for persons with disabilities"
"Access for persons with disabilities","Subject Category","SO Society and Culture"
"Access to education","French","Accès à l'éducation"
"Access to education","Related Term","Education"
"Access to education","Subject Category","ET Education and Training"
"Access to information","French","Accès à l'information"
"Access to information","Related Term","Censorship"
"Access to information","Related Term","Confidentiality"
"Access to information","Related Term","Freedom of information"
"Access to information","Related Term","Information"
"Access to information","Related Term","Information requests"
"Access to information","Related Term","Open government"
"Access to information","Related Term","Privacy"
"Access to information","Subject Category","IN Information and Communications"
"Accessibility","French","Accessibilité"
"Accessibility","Scope Note","Ease of access to a place, a service or information."
"Accessibility","Narrower Term","Accessibility for persons with disabilities"
"Accessibility","Related Term","Public access"
"Accessibility","Subject Category","PR Processes"
"Accessibility for persons with disabilities","French","Accessibilité aux personnes handicapées"
"Accessibility for persons with disabilities","Scope Note","Easy access to a place, a service or information, for people with disabilities."
"Accessibility for persons with disabilities","Used For","Access for persons with disabilities"
"Accessibility for persons with disabilities","Used For","Barrier free access"
"Accessibility for persons with disabilities","Used For","Disabled access"
"Accessibility for persons with disabilities","Used For","Wheelchair access"
"Accessibility for persons with disabilities","Broader Term","Accessibility"
"Accessibility for persons with disabilities","Related Term","Accessible transport"
"Accessibility for persons with disabilities","Related Term","Assistive technologies"
"Accessibility for persons with disabilities","Related Term","Duty to accommodate"
"Accessibility for persons with disabilities","Related Term","Persons with disabilities"
"Accessibility for persons with disabilities","Subject Category","SO Society and Culture"
"Accessible transport","French","Transport accessible"
"Accessible transport","Broader Term","Transport"
"Accessible transport","Related Term","Accessibility for persons with disabilities"
"Accessible transport","Related Term","Persons with disabilities"
"Accessible transport","Subject Category","SO Society and Culture"
"Accessible transport","Subject Category","TR Transport"
"Accident prevention","French","Prévention des accidents"
"Accident prevention","Broader Term","Prevention"
"Accident prevention","Related Term","Accidents"
"Accident prevention","Related Term","Safety"
"Accident prevention","Related Term","Safety measures"
"Accident prevention","Subject Category","HE Health and Safety"
"Accidents","French","Accident"
"Accidents","Narrower Term","Aircraft accidents"
"Accidents","Narrower Term","Environmental accidents"
"Accidents","Narrower Term","Marine accidents"
"Accidents","Narrower Term","Occupational accidents"
"Accidents","Narrower Term","Railway accidents"
"Accidents","Narrower Term","Road accidents"
"Accidents","Related Term","Accident prevention"
"Accidents","Related Term","Injuries"
"Accidents","Related Term","Rescue"
"Accidents","Subject Category","HE Health and Safety"
"Accommodations","Use","Housing"
"Accommodations","Subject Category","SO Society and Culture"
"Accountability","French","Imputabilité"
"Accountability","Narrower Term","Open government"
"Accountability","Related Term","Delegation of authority"
"Accountability","Related Term","Devolution"
"Accountability","Subject Category","PR Processes"
"Accounting","French","Comptabilité"
"Accounting","Used For","Bookkeeping"
"Accounting","Broader Term","Business services"
"Accounting","Narrower Term","Accounting standards"
"Accounting","Related Term","Comptrollership"
"Accounting","Related Term","Financial audit"
"Accounting","Related Term","Supplementary estimates"
"Accounting","Subject Category","EC Economics and Industry"
"Accounting standards","French","Normes comptables"
"Accounting standards","Broader Term","Accounting"
"Accounting standards","Related Term","Finance"
"Accounting standards","Subject Category","EC Economics and Industry"
"Accounting standards","Subject Category","GV Government and Politics"
"Accreditation","Use","Certification"
"Accreditation","Subject Category","PR Processes"
"Acculturation","French","Acculturation"
"Acculturation","Used For","Cultural assimilation"
"Acculturation","Related Term","Culture"
"Acculturation","Subject Category","SO Society and Culture"
"Acid deposition","Use","Acid rain"
"Acid deposition","Subject Category","NE Nature and Environment"
"Acid precipitation","Use","Acid rain"
"Acid precipitation","Subject Category","NE Nature and Environment"
"Acid rain","French","Pluies acides"
"Acid rain","Scope Note","Refers to all forms of acid precipitation (rain, snow, hail, fog, etc.)."
"Acid rain","Used For","Acid deposition"
"Acid rain","Used For","Acid precipitation"
"Acid rain","Used For","Acidic precipitation"
